"","tweet","existence","existence.confidence","cleantweet"
"1271","Pat Mooney on the Dangers of Geoengineering and Manipulating the Planet to Combat Climate Change http://bit.ly/b93A5l","Y",1,"Pat Mooney on the Dangers of Geoengineering and Manipulating the Planet to Combat Climate Change http://bit.ly/b93A5l"
"1272","Seasonal Allergies Getting Worse From Climate Change http://url4.eu/2mhrI","Y",1,"Seasonal Allergies Getting Worse From Climate Change http://url4.eu/2mhrI"
"1273","Just because I believe in global warming, peeps thinks I should believe in god instead. Why??","Y",1,"Just because I believe in global warming, peeps thinks I should believe in god instead. Why??"
"1274","Seasonal Allergies Getting Worse From Climate Change http://bit.ly/cy7Jc8","Y",1,"Seasonal Allergies Getting Worse From Climate Change http://bit.ly/cy7Jc8"
"1275","Seasonal Allergies Getting Worse From Climate Change http://bit.ly/cy7Jc8","Y",1,"Seasonal Allergies Getting Worse From Climate Change http://bit.ly/cy7Jc8"
"1276","@Zener39 I advise everyone who thinks global warming is dead to buy oceanfront property and live there.  See ya!","Y",1,"@Zener39 I advise everyone who thinks global warming is dead to buy oceanfront property and live there.  See ya!"
"1277","Global Warming, Melting Ice Caps Could Help Trigger More Volcanic Eruptions http://bit.ly/aUBHb3","Y",1,"Global Warming, Melting Ice Caps Could Help Trigger More Volcanic Eruptions http://bit.ly/aUBHb3"
"1278","Mary Ellen Harte and John Harte: Addressing Climate Change: Winning the War on Sustainability: At its heart, clim... http://huff.to/cI7Rik","Y",0.6421,"Mary Ellen Harte and John Harte: Addressing Climate Change: Winning the War on Sustainability: At its heart, clim... http://huff.to/cI7Rik"
"1279","RT @Drudge_Report: STATE DEPT. DECLARES:   'Global warming unequivocal and primarily human-induced'... http://drudge.tw/cYgyix","Y",0.501,"RT @Drudge_Report: STATE DEPT. DECLARES:   'Global warming unequivocal and primarily human-induced'... http://drudge.tw/cYgyix"
"1280","Increasingly, corporations are concluding climate change is real. Betting on Climate Change | Wired.com http://j.mp/aaUM2W","Y",1,"Increasingly, corporations are concluding climate change is real. Betting on Climate Change | Wired.com http://j.mp/aaUM2W"
"1281","Right on! Richard Branson's #EarthDay message 2 biz ""Get ur house in order.Fight global warming!#green #eco http://bit.ly/aqJi4L -Plez RT","Y",1,"Right on! Richard Branson's #EarthDay message 2 biz ""Get ur house in order.Fight global warming!#green #eco http://bit.ly/aqJi4L -Plez RT"
"1282","[#Meat-Wise]  Cynthia Bateman on Meat-Wise Monday: How Animal Agriculture Makes Global Warming Worse http://bit.ly/9c04zs","Y",1,"[#Meat-Wise]  Cynthia Bateman on Meat-Wise Monday: How Animal Agriculture Makes Global Warming Worse http://bit.ly/9c04zs"
"1283","Global Warming, Melting Ice Caps Could Help Trigger More Volcanic Eruptions http://bit.ly/aUBHb3","Y",0.7045,"Global Warming, Melting Ice Caps Could Help Trigger More Volcanic Eruptions http://bit.ly/aUBHb3"
"1284","STATE DEPT. DECLARES:   'Global warming unequivocal and primarily human-induced'... http://bit.ly/adhL7L #breaking","Y",1,"STATE DEPT. DECLARES:   'Global warming unequivocal and primarily human-induced'... http://bit.ly/adhL7L #breaking"
"1285","Global warming, melting ice caps could trigger more volcanic eruptions: http://bit.ly/b4JVwb","Y",1,"Global warming, melting ice caps could trigger more volcanic eruptions: http://bit.ly/b4JVwb"
"1286","@LilFerret hey! We came up with all kinds of ideas for fixing global warming! Loved my Environmentalism class. *sighs*","Y",1,"@LilFerret hey! We came up with all kinds of ideas for fixing global warming! Loved my Environmentalism class. *sighs*"
"1287","An Overview of the Green Car Revolution | Going Green: The increasing awareness about the threat of global warming... http://bit.ly/doQ3i5","Y",1,"An Overview of the Green Car Revolution | Going Green: The increasing awareness about the threat of global warming... http://bit.ly/doQ3i5"
"1288","Southern Africa: Competing for Limpopo Water: Climate change will bring higher temperatures to Southe... http://tinyurl.com/y7q29uk #Africa","Y",0.9234,"Southern Africa: Competing for Limpopo Water: Climate change will bring higher temperatures to Southe... http://tinyurl.com/y7q29uk #Africa"
"1289","2nd eruption of Hekla in Iceland. Let's call 2010, the year the Earth struck back. ""This is for global warming and THIS is for oil spills!""","Y",1,"2nd eruption of Hekla in Iceland. Let's call 2010, the year the Earth struck back. ""This is for global warming and THIS is for oil spills!"""
"1290","RT @Newsweek: Climate Change: Places To See Before They Disappear•À_The Americas (Photos) http://bit.ly/b8aJbG","Y",1,"RT @Newsweek: Climate Change: Places To See Before They Disappearï¿½ï¿½_The Americas (Photos) http://bit.ly/b8aJbG"
"1291","RT @EpiscopalRelief: Bishop Lane, #Episcopal Dio of #Maine: Climate change most important issue of our time - #Bangor Daily Nws http://bit.ly/cwy6b3 via @addthis","Y",1,"RT @EpiscopalRelief: Bishop Lane, #Episcopal Dio of #Maine: Climate change most important issue of our time - #Bangor Daily Nws http://bit.ly/cwy6b3 via @addthis"
"1292","RT @TreeHugger: In case you were wondering: What Impact Will The Volcano In Iceland Have On Climate Change? http://bit.ly/dlvKNq","Y",0.6769,"RT @TreeHugger: In case you were wondering: What Impact Will The Volcano In Iceland Have On Climate Change? http://bit.ly/dlvKNq"
"1293","Cool it, global warming is bad enough without you heating things up.|In the interest of honest discussion, can we .. http://oohja.com/xb9Ck","Y",1,"Cool it, global warming is bad enough without you heating things up.|In the interest of honest discussion, can we .. http://oohja.com/xb9Ck"
"1294","RT @InvasiveNotes: RT @RareWildlifeGuy: Climate change: Migration patterns have changed for 20 billion birds:   http://bit.ly/byeIQM","Y",0.7239,"RT @InvasiveNotes: RT @RareWildlifeGuy: Climate change: Migration patterns have changed for 20 billion birds:   http://bit.ly/byeIQM"
"1295","RT @Newsweek: Climate Change: Places To See Before They Disappear•À_The Americas (Photos) http://bit.ly/b8aJbG","Y",0.6708,"RT @Newsweek: Climate Change: Places To See Before They Disappearï¿½ï¿½_The Americas (Photos) http://bit.ly/b8aJbG"
"1296","Volcanic ash cloud: Global warming may trigger more volcanoes|Climate change could spark more ''hazardous'' .. http://oohja.com/xb8ws","Y",1,"Volcanic ash cloud: Global warming may trigger more volcanoes|Climate change could spark more ''hazardous'' .. http://oohja.com/xb8ws"
"1297","Volcanic ash cloud: Global warming may trigger more volcanoes|Climate change could spark more ''hazardous'' .. http://oohja.com/xb8s2","Y",1,"Volcanic ash cloud: Global warming may trigger more volcanoes|Climate change could spark more ''hazardous'' .. http://oohja.com/xb8s2"
"1298","Just briefed on global cooling & volcanoes via @abc But I wonder ... if it gets to the stratosphere can it slow/improve global warming??","Y",0.6561,"Just briefed on global cooling & volcanoes via @abc But I wonder ... if it gets to the stratosphere can it slow/improve global warming??"
"1299","Climate Change-ing your Allergies http://bit.ly/d3bTo0 (NRDC)","Y",1,"Climate Change-ing your Allergies http://bit.ly/d3bTo0 (NRDC)"
"1300","RT @Newsweek: Climate Change: Places To See Before They Disappear•À_The Americas (Photos) http://bit.ly/b8aJbG","Y",1,"RT @Newsweek: Climate Change: Places To See Before They Disappearï¿½ï¿½_The Americas (Photos) http://bit.ly/b8aJbG"
"1301","Obama says China can't 'wait' on climate change: Sydney (AFP) April 15, 2010 - US President Barack Obama on Thursd... http://bit.ly/cbVER7","Y",0.6926,"Obama says China can't 'wait' on climate change: Sydney (AFP) April 15, 2010 - US President Barack Obama on Thursd... http://bit.ly/cbVER7"
"1302","RT @beckbasher: RT @IanDavidB: RT @Shoq: CLIMATE CHANGE DENIERS: Bobby Jindal mocked volcano warnings. Read the papers lately? Start thinking for yourselves","Y",1,"RT @beckbasher: RT @IanDavidB: RT @Shoq: CLIMATE CHANGE DENIERS: Bobby Jindal mocked volcano warnings. Read the papers lately? Start thinking for yourselves"
"1303","RT @TEDNews: Cara Mertes at #tedxvolcano: We're all stranded this weekend. And we're getting a sneak preview of climate change. We have to adapt.","Y",1,"RT @TEDNews: Cara Mertes at #tedxvolcano: We're all stranded this weekend. And we're getting a sneak preview of climate change. We have to adapt."
"1304","Larry Brilliant at #TEDxVolcano: ""We have to fight for science; the single most important thing we face is climate change"" #socmedia @enviro","Y",1,"Larry Brilliant at #TEDxVolcano: ""We have to fight for science; the single most important thing we face is climate change"" #socmedia @enviro"
"1305","Larry Brilliant at TEDxVolcano: ""We have to fight for science; the single most important thing we face is climate change"" #socent #green","Y",1,"Larry Brilliant at TEDxVolcano: ""We have to fight for science; the single most important thing we face is climate change"" #socent #green"
"1306","Damn man that ash cloud in Europe is crazy, they say due to global warming with the volcano activating,getting crazy","Y",0.7425,"Damn man that ash cloud in Europe is crazy, they say due to global warming with the volcano activating,getting crazy"
"1307","RT @TEDNews: Larry Brilliant at #tedxvolcano: Climate change is exacerbating all other crises of our age. But climate science is now under attack.","Y",1,"RT @TEDNews: Larry Brilliant at #tedxvolcano: Climate change is exacerbating all other crises of our age. But climate science is now under attack."
"1308","RT @Newsweek: Climate Change: Places To See Before They Disappear•À_The Americas (Photos) http://bit.ly/b8aJbG","Y",0.689,"RT @Newsweek: Climate Change: Places To See Before They Disappearï¿½ï¿½_The Americas (Photos) http://bit.ly/b8aJbG"
"1309","Global warming to impact wheat, rice production in India|Ludhiana, Apr 18 : Scarcity of water will have a serious .. http://oohja.com/xb62Q","Y",0.9231,"Global warming to impact wheat, rice production in India|Ludhiana, Apr 18 : Scarcity of water will have a serious .. http://oohja.com/xb62Q"
"1310","Global Warming Causes Volcano Eruptions -- By: Jonah Goldberg: From Reuters: OSLO (Reuters) - A thaw of Iceland's... http://bit.ly/dqvsYV","Y",0.6668,"Global Warming Causes Volcano Eruptions -- By: Jonah Goldberg: From Reuters: OSLO (Reuters) - A thaw of Iceland's... http://bit.ly/dqvsYV"
"1311","Global warming to impact wheat, rice production in India|Ludhiana, Apr 18 : Scarcity of water will have a serious .. http://oohja.com/xb60z","Y",1,"Global warming to impact wheat, rice production in India|Ludhiana, Apr 18 : Scarcity of water will have a serious .. http://oohja.com/xb60z"
"1312","RT @Climates_Change: Bring Indigenous Voices into the Conversation About Climate Change http://bit.ly/bbP0gG","Y",0.6532,"RT @Climates_Change: Bring Indigenous Voices into the Conversation About Climate Change http://bit.ly/bbP0gG"
"1313","Climate Change & Volcanic Activity: ""Ice Cap Thaw May Awaken Icelandic Volcanoes http://twurl.nl/f0aqb3","Y",1,"Climate Change & Volcanic Activity: ""Ice Cap Thaw May Awaken Icelandic Volcanoes http://twurl.nl/f0aqb3"
"1314","•À_No Rain in the Amazon: How South America•À_s Climate Change Affects Entire Planet•À_ -Interview of Nikolas Kozloff (vid) http://twurl.nl/asgkwk","Y",1,"ï¿½ï¿½_No Rain in the Amazon: How South Americaï¿½ï¿½_s Climate Change Affects Entire Planetï¿½ï¿½_ -Interview of Nikolas Kozloff (vid) http://twurl.nl/asgkwk"
"1315","Climate Change: Places To See Before They Disappear•À_The Americas (Photos) http://bit.ly/b8aJbG","Y",1,"Climate Change: Places To See Before They Disappearï¿½ï¿½_The Americas (Photos) http://bit.ly/b8aJbG"
"1316","RT @bruces *Hmmm, they rather buried the lede here: Iceland glaciers melt from global warming, then volcanoes go off: http://bit.ly/anoudi","Y",1,"RT @bruces *Hmmm, they rather buried the lede here: Iceland glaciers melt from global warming, then volcanoes go off: http://bit.ly/anoudi"
"1317","Not sure if this is consensus, but: scientist warns climate change will lead to more volcano crises due to melting ice. http://bit.ly/9ELCjd","Y",0.6855,"Not sure if this is consensus, but: scientist warns climate change will lead to more volcano crises due to melting ice. http://bit.ly/9ELCjd"
"1318","Wishing I was in Cochabamba at the People's World Conference on Climate Change and the Rights of Mother Earth @boliviaun","Y",0.6665,"Wishing I was in Cochabamba at the People's World Conference on Climate Change and the Rights of Mother Earth @boliviaun"
"1319","I feel that already RT @organicnewyork Climate change making seasonal allergies worse. Near-record highs this Spring http://bit.ly/d5DMi6","Y",1,"I feel that already RT @organicnewyork Climate change making seasonal allergies worse. Near-record highs this Spring http://bit.ly/d5DMi6"
"1320","RT @organicnewyork: Climate change making seasonal allergies worse.  Near-record highs this Spring.  http://bit.ly/d5DMi6","Y",1,"RT @organicnewyork: Climate change making seasonal allergies worse.  Near-record highs this Spring.  http://bit.ly/d5DMi6"
"1321","Like Icelandic volcanic eruptions disrupting your air travel? Climate change = glacier thaw = more of it. http://bit.ly/aJOZGb (via @mims)","Y",1,"Like Icelandic volcanic eruptions disrupting your air travel? Climate change = glacier thaw = more of it. http://bit.ly/aJOZGb (via @mims)"
"1322","Cochabamba Summit Offers New Approach to Combating Climate Change http://bit.ly/btb7jh","N",0.3717,"Cochabamba Summit Offers New Approach to Combating Climate Change http://bit.ly/btb7jh"
"1323","Climate Change is Making You Sneeze: http://bit.ly/c3YVMW The Eco-Sexy Solution? Nettle Root tincture, baby!","Y",0.7014,"Climate Change is Making You Sneeze: http://bit.ly/c3YVMW The Eco-Sexy Solution? Nettle Root tincture, baby!"
"1324","ENVIRONMENT: Climate of change: From something as simple as reminding computer users to power down when not workin... http://bit.ly/duQAk9","Y",1,"ENVIRONMENT: Climate of change: From something as simple as reminding computer users to power down when not workin... http://bit.ly/duQAk9"
"1325","Professor?s Perspective: Reasons to be Concerned about Climate Change|Spring in Connecticut brings renewal, .. http://oohja.com/xaZEP","Y",1,"Professor?s Perspective: Reasons to be Concerned about Climate Change|Spring in Connecticut brings renewal, .. http://oohja.com/xaZEP"
"1326","The need to switch to renewable energy|Climate scientists have long warned us that global warming is accelerating .. http://oohja.com/xaZAj","Y",0.6862,"The need to switch to renewable energy|Climate scientists have long warned us that global warming is accelerating .. http://oohja.com/xaZAj"
"1327","The need to switch to renewable energy|Climate scientists have long warned us that global warming is accelerating .. http://oohja.com/xaZzN","Y",1,"The need to switch to renewable energy|Climate scientists have long warned us that global warming is accelerating .. http://oohja.com/xaZzN"
"1328","Climate Change culprit for ""Off-the-Charts"" Pollen Counts... http://bit.ly/biteQA","Y",1,"Climate Change culprit for ""Off-the-Charts"" Pollen Counts... http://bit.ly/biteQA"
"1329","Coalition of the Tired of Waiting: Fighting Climate Change at Ground Level http://bit.ly/97DPXg","Y",0.6702,"Coalition of the Tired of Waiting: Fighting Climate Change at Ground Level http://bit.ly/97DPXg"
"1330","Allergy Season To Worsen With Climate Change: Report: A new report released on Wednesday by the National Wildlife... http://huff.to/9ipDju","Y",1,"Allergy Season To Worsen With Climate Change: Report: A new report released on Wednesday by the National Wildlife... http://huff.to/9ipDju"
"1331","Coalition of the Tired of Waiting: Fighting Climate Change at Ground Level http://bit.ly/97DPXg","Y",1,"Coalition of the Tired of Waiting: Fighting Climate Change at Ground Level http://bit.ly/97DPXg"
"1332","Author Nikolas Kozloff on ""No Rain in the Amazon: How South America's Climate Change Affects the Entire Planet"" http://bit.ly/cKs5dW","Y",0.7188,"Author Nikolas Kozloff on ""No Rain in the Amazon: How South America's Climate Change Affects the Entire Planet"" http://bit.ly/cKs5dW"
"1333","How do we solve this global warming thing? http://goo.gl/fb/ON8rH #cleantech",NA,0.695,"How do we solve this global warming thing? http://goo.gl/fb/ON8rH #cleantech"
"1334","Coalition of the Tired of Waiting: Fighting Climate Change at Ground Level http://url4.eu/2heiW","Y",0.69,"Coalition of the Tired of Waiting: Fighting Climate Change at Ground Level http://url4.eu/2heiW"
"1335","Coalition of the Tired of Waiting: Fighting Climate Change at Ground Level http://url4.eu/2heip","Y",1,"Coalition of the Tired of Waiting: Fighting Climate Change at Ground Level http://url4.eu/2heip"
"1336","Coalition of the Tired of Waiting: Fighting Climate Change at Ground Level http://goo.gl/fb/hKvfY #cleantech","Y",0.657,"Coalition of the Tired of Waiting: Fighting Climate Change at Ground Level http://goo.gl/fb/hKvfY #cleantech"
"1337","How do we solve this global warming thing? http://url4.eu/2hdT2","Y",1,"How do we solve this global warming thing? http://url4.eu/2hdT2"
"1338","How do we solve this global warming thing? http://url4.eu/2hdSo","Y",1,"How do we solve this global warming thing? http://url4.eu/2hdSo"
"1339","Report: Allergy Season to Get Worse with Climate Change (Time.com) http://nxy.in/h4e3z","Y",1,"Report: Allergy Season to Get Worse with Climate Change (Time.com) http://nxy.in/h4e3z"
"1340","Cute. I mention global warming and a denialist sends me a link to a Finnish newspaper article purportedly refuting it.","Y",0.6702,"Cute. I mention global warming and a denialist sends me a link to a Finnish newspaper article purportedly refuting it."
"1341","Is nationalizing the energy industry necessary to fight global warming?  http://bit.ly/9AEI0k","Y",1,"Is nationalizing the energy industry necessary to fight global warming?  http://bit.ly/9AEI0k"
"1342","Blog|A preliminary analysis suggests that natural gas could contribute far more to global warming than previously .. http://oohja.com/xaW3l","Y",0.9128,"Blog|A preliminary analysis suggests that natural gas could contribute far more to global warming than previously .. http://oohja.com/xaW3l"
"1343","Iceland volcano not likely to slow global warming|A vast cloud from an intensifying volcanic eruption in Iceland .. http://oohja.com/xaVgV","Y",0.6539,"Iceland volcano not likely to slow global warming|A vast cloud from an intensifying volcanic eruption in Iceland .. http://oohja.com/xaVgV"
"1344","Iceland volcano not likely to slow global warming|A vast cloud from an intensifying volcanic eruption in Iceland .. http://oohja.com/xaVcb","Y",1,"Iceland volcano not likely to slow global warming|A vast cloud from an intensifying volcanic eruption in Iceland .. http://oohja.com/xaVcb"
"1345","reading from @time Allergies Worse Than Ever? Blame Global Warming http://bit.ly/9QVt5w","Y",1,"reading from @time Allergies Worse Than Ever? Blame Global Warming http://bit.ly/9QVt5w"
"1346","The $6BN REDD+ forest conservation partnership to curb climate change leaves on env'l groups & indigenous populations. http://bit.ly/9bbuoO","Y",0.6508,"The $6BN REDD+ forest conservation partnership to curb climate change leaves on env'l groups & indigenous populations. http://bit.ly/9bbuoO"
"1347","2/3rds of Tbaggers don't think climate change is a serious problem. As I said, they're ignorant.","Y",1,"2/3rds of Tbaggers don't think climate change is a serious problem. As I said, they're ignorant."
"1348","Missing' heat may affect future climate change http://bit.ly/diXzNL #environment #eco","Y",0.6535,"Missing' heat may affect future climate change http://bit.ly/diXzNL #environment #eco"
"1349","Climate Change - Building a Green Economy http://bit.ly/bzJACi","Y",0.6715,"Climate Change - Building a Green Economy http://bit.ly/bzJACi"
"1350","Climate change threatening Glacier National Park and Montana's economy - Examiner.com http://bit.ly/bN869t","Y",1,"Climate change threatening Glacier National Park and Montana's economy - Examiner.com http://bit.ly/bN869t"
"1351","New York: Climate change could raise cost of allergies http://newyork.cityandpress.com/2010/04/15/climate-change-could-raise-cost-allergies","Y",1,"New York: Climate change could raise cost of allergies http://newyork.cityandpress.com/2010/04/15/climate-change-could-raise-cost-allergies"
"1352","Ecotone: #Climate change from a #population perspective http://ow.ly/1yNlN #cities #environment (via @argus27)","Y",0.5318,"Ecotone: #Climate change from a #population perspective http://ow.ly/1yNlN #cities #environment (via @argus27)"
"1353","Climate change blamed as coastal whale migration dwindles •À_ Ventura County.. http://retwt.me/1MPSj (via @PlanetSantaBarb)","Y",0.6554,"Climate change blamed as coastal whale migration dwindles ï¿½ï¿½_ Ventura County.. http://retwt.me/1MPSj (via @PlanetSantaBarb)"
"1354","Think your allergies are bad now? Wait until climate change kicks in, Michig.. http://retwt.me/1MPQX (via @greenmichigan)","Y",1,"Think your allergies are bad now? Wait until climate change kicks in, Michig.. http://retwt.me/1MPQX (via @greenmichigan)"
"1355","Exclusive: Climate change could raise cost of U.S. allergies| Reuters http://retwt.me/1MPF2 (via @healthfreaks)","Y",1,"Exclusive: Climate change could raise cost of U.S. allergies| Reuters http://retwt.me/1MPF2 (via @healthfreaks)"
"1356","Spring storm season starting a little late this year???  Must be global warming!","N",0.6502,"Spring storm season starting a little late this year???  Must be global warming!"
"1357","Kenya: Extreme Weather Tests Pastoralist Perceptions: The effects of climate change - such as drought... http://tinyurl.com/yyupfmh #Africa","Y",0.6598,"Kenya: Extreme Weather Tests Pastoralist Perceptions: The effects of climate change - such as drought... http://tinyurl.com/yyupfmh #Africa"
"1358","Climate Change is Not Just About the Climate, it is About Our Lives : TreeHugger http://retwt.me/1MPhx (via @paulo_one)","Y",1,"Climate Change is Not Just About the Climate, it is About Our Lives : TreeHugger http://retwt.me/1MPhx (via @paulo_one)"
"1359","All 30 Major League Baseball Teams Throw Curve to Climate Change Deniers http://bit.ly/cywGTN","Y",1,"All 30 Major League Baseball Teams Throw Curve to Climate Change Deniers http://bit.ly/cywGTN"
"1360","Climate Change - 100 Endangered Places and How to Save Them - Newsweek http://retwt.me/1MODN (via @tweeterism)","Y",1,"Climate Change - 100 Endangered Places and How to Save Them - Newsweek http://retwt.me/1MODN (via @tweeterism)"
"1361","Tip of the Day: Plant One Tree on your Birthday - Plants absorb CO2 which helps reduce Global Warming.","Y",1,"Tip of the Day: Plant One Tree on your Birthday - Plants absorb CO2 which helps reduce Global Warming."
"1362","United States Must Lead on Climate Change •À_ Kerry; Climate and Energy Bill Has Multiple Benefits #green http://bit.ly/d0lRwo",NA,0.6781,"United States Must Lead on Climate Change ï¿½ï¿½_ Kerry; Climate and Energy Bill Has Multiple Benefits #green http://bit.ly/d0lRwo"
"1363","Green:Net: How the Internet, Computing Can Fight Climate Change http://bit.ly/9exozj","Y",1,"Green:Net: How the Internet, Computing Can Fight Climate Change http://bit.ly/9exozj"
"1364","3,000 Businesses Create New Ad for Climate Change Action : CleanTechnica http://retwt.me/1MOwy (via @greenREACH)",NA,0.5314,"3,000 Businesses Create New Ad for Climate Change Action : CleanTechnica http://retwt.me/1MOwy (via @greenREACH)"
"1365","Green:Net: How the Internet, Computing Can Fight Climate Change: The Internet, software, computing... http://bit.ly/9exozj (Via @inhabitat)","Y",1,"Green:Net: How the Internet, Computing Can Fight Climate Change: The Internet, software, computing... http://bit.ly/9exozj (Via @inhabitat)"
"1366","Leaked U.S. Document Calls For •À_Global Regime•À_ To Tackle Climate Change http://retwt.me/1MOhG (via @planetprison3r)","Y",0.6603,"Leaked U.S. Document Calls For ï¿½ï¿½_Global Regimeï¿½ï¿½_ To Tackle Climate Change http://retwt.me/1MOhG (via @planetprison3r)"
"1367","Climate Change - 100 Endangered Places and How to Save Them - Newsweek http://ff.im/-iVsBt","Y",1,"Climate Change - 100 Endangered Places and How to Save Them - Newsweek http://ff.im/-iVsBt"
"1368","Reinvent Cities to Stop Climate Change http://retwt.me/1MO9d (via @reenymal)","Y",1,"Reinvent Cities to Stop Climate Change http://retwt.me/1MO9d (via @reenymal)"
"1369","Climate Change Continues To Melt Glacier National Park's Icons | National P.. http://retwt.me/1MNUL (via @nat_parks_news)","Y",1,"Climate Change Continues To Melt Glacier National Park's Icons | National P.. http://retwt.me/1MNUL (via @nat_parks_news)"
"1370","Climate Change - 100 Endangered Places and How to Save Them - Newsweek http://retwt.me/1MNMY (via @meganurupo)","Y",0.7096,"Climate Change - 100 Endangered Places and How to Save Them - Newsweek http://retwt.me/1MNMY (via @meganurupo)"
"1371","Climate Change - 100 Endangered Places and How to Save Them - Newsweek http://retwt.me/1MNC2 (via @stevegeritano)","Y",1,"Climate Change - 100 Endangered Places and How to Save Them - Newsweek http://retwt.me/1MNC2 (via @stevegeritano)"
"1372","Abu Dhabi faces climate change flood threat - expert - Culture & Society - Arabia.. http://retwt.me/1MNjF (via @zaqzaqat)","Y",1,"Abu Dhabi faces climate change flood threat - expert - Culture & Society - Arabia.. http://retwt.me/1MNjF (via @zaqzaqat)"
"1373","China active, serious in tackling climate change, says vice president | Humani.. http://retwt.me/1MN3W (via @NewsOnGreen)","Y",1,"China active, serious in tackling climate change, says vice president | Humani.. http://retwt.me/1MN3W (via @NewsOnGreen)"
"1374","You and Us and Me - China active, serious in tackling climate change, says vic.. http://retwt.me/1MN3p (via @NewsOnGreen)","Y",1,"You and Us and Me - China active, serious in tackling climate change, says vic.. http://retwt.me/1MN3p (via @NewsOnGreen)"
"1375","Study: SE Asia will be hit hard by climate change http://retwt.me/1MN2w (via @cuddlendance)","Y",1,"Study: SE Asia will be hit hard by climate change http://retwt.me/1MN2w (via @cuddlendance)"
"1376","Take Action @change: Help Protect Wildlife Habitat from Climate Change http://bit.ly/9Ogdyi #climatechange #SierraClub #SaveTerra 27","Y",1,"Take Action @change: Help Protect Wildlife Habitat from Climate Change http://bit.ly/9Ogdyi #climatechange #SierraClub #SaveTerra 27"
"1377","Obama: China Must Act Soon on Climate Change http://bit.ly/b6vhX2","Y",1,"Obama: China Must Act Soon on Climate Change http://bit.ly/b6vhX2"
"1378","If capitalism doesn•À_t end climate change, climate change will end capitalism - #degrowth http://bit.ly/afdSTy","Y",1,"If capitalism doesnï¿½ï¿½_t end climate change, climate change will end capitalism - #degrowth http://bit.ly/afdSTy"
"1379","Take Action @change: Help Protect Wildlife Habitat from Climate Change http://bit.ly/9Ogdyi #climatechange #SierraClub #SaveTerra 28","Y",1,"Take Action @change: Help Protect Wildlife Habitat from Climate Change http://bit.ly/9Ogdyi #climatechange #SierraClub #SaveTerra 28"
"1380","Take Action @change: Help Protect Wildlife Habitat from Climate Change http://bit.ly/9Ogdyi #climatechange #SierraClub #SaveTerra 29","Y",0.6945,"Take Action @change: Help Protect Wildlife Habitat from Climate Change http://bit.ly/9Ogdyi #climatechange #SierraClub #SaveTerra 29"
"1381","Take Action @change: Help Protect Wildlife Habitat from Climate Change http://bit.ly/9Ogdyi #climatechange #SierraClub #SaveTerra 30","Y",1,"Take Action @change: Help Protect Wildlife Habitat from Climate Change http://bit.ly/9Ogdyi #climatechange #SierraClub #SaveTerra 30"
"1382","Demand Congress take action on climate change. Pls sign the petition. http://bit.ly/9tnK2S","Y",1,"Demand Congress take action on climate change. Pls sign the petition. http://bit.ly/9tnK2S"
"1383","Take Action @change: Help Protect Wildlife Habitat from Climate Change http://bit.ly/9Ogdyi #climatechange #SierraClub #SaveTerra 31","Y",1,"Take Action @change: Help Protect Wildlife Habitat from Climate Change http://bit.ly/9Ogdyi #climatechange #SierraClub #SaveTerra 31"
"1384","Take Action @change: Help Protect Wildlife Habitat from Climate Change http://bit.ly/9Ogdyi #climatechange #SierraClub #SaveTerra 32","Y",1,"Take Action @change: Help Protect Wildlife Habitat from Climate Change http://bit.ly/9Ogdyi #climatechange #SierraClub #SaveTerra 32"
"1385","Carbon Age is killing us. Climate change legislation now: http://action.sierraclub.org/site/MessageViewer?em_id=173961.0","Y",1,"Carbon Age is killing us. Climate change legislation now: http://action.sierraclub.org/site/MessageViewer?em_id=173961.0"
"1386","Obama says in TV interview that 'we can't allow China to wait' on tackling climate change http://bit.ly/b9XdIz","Y",1,"Obama says in TV interview that 'we can't allow China to wait' on tackling climate change http://bit.ly/b9XdIz"
"1387","Take Action @change: Help Protect Wildlife Habitat from Climate Change http://bit.ly/9Ogdyi #climatechange #SierraClub #SaveTerra 33","Y",1,"Take Action @change: Help Protect Wildlife Habitat from Climate Change http://bit.ly/9Ogdyi #climatechange #SierraClub #SaveTerra 33"
"1388","Take Action @change: Help Protect Wildlife Habitat from Climate Change http://bit.ly/9Ogdyi #climatechange #SierraClub #SaveTerra 34","Y",1,"Take Action @change: Help Protect Wildlife Habitat from Climate Change http://bit.ly/9Ogdyi #climatechange #SierraClub #SaveTerra 34"
"1389","Government Claims Global Warming May Cause Cancer http://bit.ly/cbPJhu","Y",1,"Government Claims Global Warming May Cause Cancer http://bit.ly/cbPJhu"
"1390","Government Claims Global Warming May Cause Cancer http://bit.ly/dhLLuq",NA,0.6569,"Government Claims Global Warming May Cause Cancer http://bit.ly/dhLLuq"
"1391","Protect Wildlife Habitat from Climate Change: http://www.thepetitionsite.com/takeaction/820159630","Y",1,"Protect Wildlife Habitat from Climate Change: http://www.thepetitionsite.com/takeaction/820159630"
"1392","Take Action @change: Help Protect Wildlife Habitat from Climate Change http://bit.ly/9Ogdyi #climatechange #SierraClub #SaveTerra 35","Y",0.6757,"Take Action @change: Help Protect Wildlife Habitat from Climate Change http://bit.ly/9Ogdyi #climatechange #SierraClub #SaveTerra 35"
"1393","Plan B: California Braces for Climate Change http://bit.ly/99dwDO","Y",1,"Plan B: California Braces for Climate Change http://bit.ly/99dwDO"
